timestamp,sport,game_date,player,stat,line,opponent,risk_type,recommendation,score,confidence,result,actual_stat,reasons
2026-06-17 16:23:08,WNBA,2026-06-17,Michaela Onyenwere,PRA,15.5,CON,NORMAL,LEAN LESS,,MEDIUM,LOSS,25.0,
2026-06-17 16:23:08,WNBA,2026-06-17,Shakira Austin,PRA,26.0,CON,NORMAL,STRONG LESS,,HIGH,DNP,DNP,
2026-06-17 16:47:49,WNBA,2026-06-17,Saniya Rivers,PTS,9.0,WAS,NORMAL,PASS,,LOW,PENDING,,
2026-06-17 16:47:49,WNBA,2026-06-17,Michaela Onyenwere,PTS,10.0,CON,NORMAL,PASS,,LOW,PENDING,,
2026-06-17 16:47:49,WNBA,2026-06-17,Michaela Onyenwere,PTS,11.5,CON,DEMON,PASS,,LOW,PENDING,,
2026-06-17 16:47:49,WNBA,2026-06-17,Aneesah Morrow,REB,10.5,WAS,DEMON,PASS,,LOW,PENDING,,
2026-06-17 17:05:30,WNBA,2026-06-17,Natisha Hiedeman,PTS,9.5,PDX,GOBLIN,PASS,,LOW,PENDING,,
2026-06-17 17:05:30,WNBA,2026-06-17,Natisha Hiedeman,PTS,13.5,PDX,NORMAL,LEAN LESS,,MEDIUM,LOSS,19.0,
2026-06-17 17:05:30,WNBA,2026-06-17,Natisha Hiedeman,PTS,14.5,PDX,DEMON,PASS,,LOW,PENDING,,
2026-06-17 17:05:30,WNBA,2026-06-17,Natisha Hiedeman,PRA,20.5,PDX,NORMAL,LEAN LESS,,MEDIUM,LOSS,29.0,
2026-06-17 17:18:38,WNBA,2026-06-17,Dearica Hamby,PRA,19.5,MIN,GOBLIN,STRONG MORE,,HIGH,WIN,23.0,
2026-06-17 17:18:38,WNBA,2026-06-17,Nneka Ogwumike,PRA,19.5,MIN,GOBLIN,LEAN MORE,,MEDIUM,LOSS,19.0,
2026-06-17 17:18:38,WNBA,2026-06-17,Ariel Atkins,PRA,13.5,MIN,GOBLIN,LEAN MORE,,MEDIUM,LOSS,8.0,
2026-06-17 17:18:38,WNBA,2026-06-17,Dearica Hamby,PRA,25.5,MIN,NORMAL,LEAN MORE,,MEDIUM,LOSS,23.0,
2026-06-17 17:18:38,WNBA,2026-06-17,Courtney Williams,PRA,19.5,LAS,GOBLIN,LEAN MORE,,MEDIUM,LOSS,19.0,
2026-06-17 17:18:38,WNBA,2026-06-17,Nneka Ogwumike,PRA,24.5,MIN,GOBLIN,LEAN MORE,,MEDIUM,LOSS,19.0,
2026-06-17 17:18:38,WNBA,2026-06-17,Dearica Hamby,PRA,29.5,MIN,DEMON,LEAN MORE,,MEDIUM,LOSS,23.0,
2026-06-17 17:18:38,WNBA,2026-06-17,Dearica Hamby,PRA,28.5,MIN,DEMON,LEAN MORE,,MEDIUM,LOSS,23.0,
2026-06-17 17:18:38,WNBA,2026-06-17,Ariel Atkins,PRA,15.5,MIN,NORMAL,PASS,,LOW,PENDING,,
2026-06-17 17:18:38,WNBA,2026-06-17,Erica Wheeler,PRA,14.5,MIN,GOBLIN,PASS,,LOW,PENDING,,
2026-06-17 17:18:38,WNBA,2026-06-17,Erica Wheeler,PRA,13.5,MIN,GOBLIN,PASS,,LOW,PENDING,,
2026-06-17 17:18:38,WNBA,2026-06-17,Erica Wheeler,PRA,15.5,MIN,NORMAL,PASS,,LOW,PENDING,,
2026-06-17 17:18:38,WNBA,2026-06-17,Kayla McBride,PRA,18.5,LAS,GOBLIN,PASS,,LOW,PENDING,,
2026-06-17 17:18:38,WNBA,2026-06-17,Courtney Williams,PRA,24.5,LAS,GOBLIN,PASS,,LOW,PENDING,,
2026-06-17 17:18:38,WNBA,2026-06-17,Kelsey Plum,PRA,24.5,MIN,GOBLIN,PASS,,LOW,PENDING,,
2026-06-17 17:18:38,WNBA,2026-06-17,Ariel Atkins,PRA,19.5,MIN,DEMON,PASS,,LOW,PENDING,,
2026-06-17 17:18:38,WNBA,2026-06-17,Erica Wheeler,PRA,17.5,MIN,DEMON,PASS,,LOW,PENDING,,
2026-06-17 17:18:38,WNBA,2026-06-17,Erica Wheeler,PRA,19.5,MIN,DEMON,PASS,,LOW,PENDING,,
2026-06-17 17:18:38,WNBA,2026-06-17,Erica Wheeler,PRA,21.5,MIN,DEMON,PASS,,LOW,PENDING,,
2026-06-17 17:18:38,WNBA,2026-06-17,Courtney Williams,PRA,26.0,LAS,NORMAL,LEAN LESS,,MEDIUM,WIN,19.0,
